date_collected,origin,destination,flight_date,class,duration,stops,price_usd
2025-05-21,BRS,JFK,2025-06-20,Economy,PT27H55M,0,1068.81
2025-05-21,BRS,LAX,2025-06-20,Economy,PT32H16M,0,1398.41
2025-05-21,BRS,DXB,2025-06-20,Economy,PT28H50M,0,341.2
2025-05-21,BRS,DEL,2025-06-20,Economy,PT28H55M,0,595.7
2025-05-21,BRS,CPT,2025-06-20,Economy,PT14H10M,0,898.8
2025-05-21,BRS,TYO,2025-06-20,Economy,PT17H25M,0,1211.8
2025-05-21,BRS,PER,2025-06-20,Economy,PT24H35M,0,1346.2
2025-05-21,BHX,AMS,2025-06-20,Economy,PT1H10M,0,160.6
2025-05-21,BHX,BCN,2025-06-20,Economy,PT2H15M,0,149.3
2025-05-21,BHX,CDG,2025-06-20,Economy,PT1H20M,0,198.6
2025-05-21,BHX,FCO,2025-06-20,Economy,PT12H10M,0,204.1
2025-05-22,MAN,IST,2025-06-21,Economy,PT4H5M,0,183.9
2025-05-22,MAN,IST,2025-06-26,Economy,PT4H5M,0,183.9
2025-05-22,MAN,IST,2025-07-01,Economy,PT4H5M,0,183.9
2025-05-22,MAN,IST,2025-07-06,Economy,PT4H5M,0,183.9
2025-05-22,MAN,BKK,2025-06-21,Economy,PT31H35M,0,481.0
2025-05-22,MAN,BKK,2025-06-26,Economy,PT31H35M,0,481.0
2025-05-22,MAN,BKK,2025-07-01,Economy,PT31H35M,0,481.0
2025-05-22,MAN,BKK,2025-07-06,Economy,PT31H35M,0,481.0
2025-05-22,MAN,DPS,2025-06-21,Economy,PT21H5M,0,651.8
2025-05-22,MAN,DPS,2025-06-26,Economy,PT21H5M,0,651.8
2025-05-22,MAN,DPS,2025-07-01,Economy,PT21H55M,0,666.8
2025-05-22,MAN,DPS,2025-07-06,Economy,PT21H55M,0,666.8
